subject,time,unrel,target,cohort,unrelated,rhyme
30,0,0,0,0,0,0
30,4,0,0,0,0,0
30,8,0,0,0,0,0
30,12,0,0,0,0,0
30,16,0,0,0,0,0
30,20,0,0,0,0,0
30,24,0,0,0,0,0
30,28,0,0,0,0,0
30,32,0,0,0,0,0
30,36,0,0,0,0,0
30,40,0,0,0,0,0
30,44,0,0,0,0,0
30,48,0,0,0,0,0
30,52,0,0,0,0,0
30,56,0,0,0,0,0
30,60,0,0,0,0,0
30,64,0,0,0,0,0
30,68,0,0,0,0,0
30,72,0,0,0,0,0
30,76,0,0,0,0,0
30,80,0,0,0,0,0
30,84,0,0,0,0,0
30,88,0,0,0,0,0
30,92,0,0,0,0,0
30,96,0,0,0,0,0
30,100,0,0,0,0,0
30,104,0,0,0,0,0
30,108,0,0,0,0,0
30,112,0,0,0,0,0
30,116,0,0,0,0,0
30,120,0,0,0,0,0
30,124,0,0,0,0,0
30,128,0,0,0,0,0
30,132,0,0,0,0,0
30,136,0,0,0,0,0
30,140,0,0,0,0,0
30,144,0,0,0,0,0
30,148,0,0,0,0,0
30,152,0,0,0,0,0
30,156,0,0,0,0,0
30,160,0,0,0,0,0
30,164,0,0,0,0,0
30,168,0,0,0,0,0
30,172,0,0,0,0,0
30,176,0,0,0,0,0
30,180,0,0,0,0,0
30,184,0,0,0,0,0
30,188,0,0,0,0,0
30,192,0,0,0,0,0
30,196,0,0,0,0,0
30,200,0,0,0,0,0
30,204,0,0,0,0,0
30,208,0,0,0,0,0
30,212,0,0,0,0,0
30,216,0,0,0,0,0
30,220,0,0,0,0,0
30,224,0,0,0,0,0
30,228,0,0,0,0,0
30,232,0,0,0,0,0
30,236,0,0,0,0,0
30,240,0,0,0,0,0
30,244,0,0,0,0,0
30,248,0,0,0,0,0
30,252,0,0,0,0,0
30,256,0,0,0,0,0
30,260,0,0,0,0,0
30,264,0,0,0,0,0
30,268,0,0,0,0,0
30,272,0,0,0,0,0
30,276,0,0,0,0,0
30,280,0,0,0,0,0
30,284,0,0,0,0,0
30,288,0,0,0,0,0
30,292,0,0,0,0,0
30,296,0,0,0,0,0
30,300,0,0,0,0,0
30,304,0,0,0,0,0
30,308,0,0,0,0,0
30,312,0,0,0,0,0
30,316,0,0,0,0,0
30,320,0,0,0,0,0
30,324,0,0,0,0,0
30,328,0,0,0,0,0
30,332,0,0,0,0,0
30,336,0,0,0,0.00348432055749129,0
30,340,0,0,0,0.00348432055749129,0
30,344,0,0,0,0.00348432055749129,0
30,348,0,0,0,0.00348432055749129,0
30,352,0,0,0,0.00348432055749129,0
